objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Monopoly: Fortnite","260942","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664764","5.46419","5.33899","1.1429","27027","878","thing","Monopoly: Fortnite","2","7","120","120","120","2018","3,4,5,6,7","7","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Monster Party","278682","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788196","0","5.92857","0","0","21","thing","Monster Party","3","6","20","20","15","2018","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Moomery","258729","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788603","0","4.3125","0","0","79","thing","Moomery","2","6","15","15","15","2018","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Munchkin Starfinder","237991","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784550","5.52147","6.90795","2","17494","320","thing","Munchkin Starfinder","3","6","120","120","60","2018","4,5","4","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Munchkin X-Men","213670","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784541","5.69232","6.97412","2","6056","1901","thing","Munchkin X-Men","3","4","120","120","60","2017","3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Murano","163413","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697441","6.3594","7.16619","2.7217","1583","2934","thing","Murano","2","4","75","75","60","2014","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Murder of Crows","128475","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118975709","5.58284","6.04304","1.25","9726","1449","thing","Murder of Crows","2","5","20","20","20","2012","3,4","3","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"My Dungeon Boss: Never Lie","233869","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788616","5.51089","6.35938","1.6667","20467","76","thing","My Dungeon Boss: Never Lie","3","5","30","30","20","2017","4,5","5","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Mysterium","181304","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664533","7.06652","7.20654","1.8928","408","77153","thing","Mysterium","2","7","42","42","42","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mystery Rummy: Jack the Ripper","106","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118299163","6.37063","6.94025","1.7458","1552","6189","thing","Mystery Rummy: Jack the Ripper","2","4","45","45","45","1998","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mystic Market","287322","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696924","5.98311","7.04571","1.625","3086","2904","thing","Mystic Market","2","4","45","45","30","2019","2,3,4","3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Mystic Paths","336552","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664264","5.69607","6.90547","1","5983","671","thing","Mystic Paths","2","6","60","60","45","2021","2,3,4,5,6","2,4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Name The Thing","353019","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664038","0","6.58235","0","0","16","thing","Name The Thing","3","99","25","0","25","2022","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Namiji: Deluxe Edition","374359","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697496","5.57261","7.14583","2","0","419","thing","Namiji: Deluxe Edition","2","5","45","45","30","2022","2,3,4,5","3,5","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Nessos","256838","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784159","5.6478","6.38192","1","7062","1206","thing","Nessos","3","6","20","20","20","2018","3,4,5,6","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The New Dungeon!","2301","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118430212","5.59724","6.14068","1.6863","8913","948","thing","The New Dungeon!","1","6","45","45","45","1989","2,3,4,5,6","4,5","5+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Niwa","234216","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697002","5.52252","6.67766","1.75","17232","135","thing","Niwa","2","2","20","20","10","2017","2","2","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"NMBR 9","217449","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665133","6.53732","6.84145","1.223","1169","10632","thing","NMBR 9","1","4","20","20","20","2017","1,2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Obscurio","273477","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664546","6.5111","7.09433","1.8933","1224","9541","thing","Obscurio","2","8","40","40","40","2019","4,5,6,7,8","5,6,7,8","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ogre Under","279169","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788188","5.48921","4.97714","1","25308","192","thing","Ogre Under","2","4","20","20","20","2019","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"On a Mission!","104811","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665282","0","5.45833","1","0","54","thing","On a Mission!","2","4","0","0","0","2011","2,3,4","3","4–8","","","","","","","standalone","","","","","","","","","","","","","","",""
"One Night Ultimate Werewolf","147949","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784228","6.86903","7.04421","1.3772","635","54572","thing","One Night Ultimate Werewolf","3","10","10","10","10","2014","4,5,6,7,8,9,10","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Orc-lympics","245950","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784524","5.56568","6.29732","1.5","10932","480","thing","Orc-lympics","2","5","20","20","10","2018","2,3,4,5","3,4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Oregon Trail Card Game","205322","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663767","4.63043","4.21454","1.1538","27931","10800","thing","The Oregon Trail Card Game","2","6","45","45","30","2016","3,4,5,6","5,6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Overboss: A Boss Monster Adventure","310192","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696875","6.36342","7.3104","2.0408","1575","5741","thing","Overboss: A Boss Monster Adventure","1","5","30","30","20","2021","1,2,3,4,5","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Overkill: Halloween Slasher","218367","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118976398","5.49668","5.28788","1","24091","123","thing","Overkill: Halloween Slasher","2","6","40","40","15","2016","2,3,4,5","3,4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Palace of Mad King Ludwig","223278","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696743","6.00254","6.85013","2.8182","2987","2744","thing","The Palace of Mad King Ludwig","2","4","75","75","75","2017","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic","30549","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117495018","7.42141","7.52839","2.3973","157","212146","thing","Pandemic","2","4","45","45","45","2008","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Papillon","241066","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696811","5.72942","6.58869","2.05","5419","1981","thing","Papillon","2","4","45","45","30","2020","3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Patchwork","163412","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697185","7.48262","7.58996","1.6027","135","112068","thing","Patchwork","2","2","30","30","15","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Patchwork Doodle","264239","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664160","6.025","6.58964","1.2632","2866","4934","thing","Patchwork Doodle","1","6","20","20","20","2019","1,2,3,4,5,6","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Perpetual-Motion Machine","69318","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788109","5.55549","6.10035","1.64","11795","256","thing","Perpetual-Motion Machine","2","4","45","45","45","2010","2,3","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pictomania","98229","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664407","6.62346","7.26439","1.5254","1000","5518","thing","Pictomania","3","6","25","25","25","2011","3,4,5,6","5,6","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Piña Pirata","154479","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784190","5.6529","6.11242","1.2432","6920","1750","thing","Piña Pirata","2","6","30","30","30","2014","2,3,4","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Plague Inc.: The Board Game","195162","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695824","6.45962","7.36003","2.1379","1340","6668","thing","Plague Inc.: The Board Game","1","4","60","60","60","2017","1,2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Poetry for Neanderthals","312786","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663661","6.0921","6.65941","1.0833","2542","8664","thing","Poetry for Neanderthals","2","12","15","15","15","2020","4,5,6,7,8,9,10,11,12","6,8","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Professor Evil and The Citadel of Time","219708","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696463","5.9287","6.59481","1.9459","3457","3196","thing","Professor Evil and The Citadel of Time","2","4","45","45","30","2017","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Purrrlock Holmes: Furriarty's Trail","220203","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664511","5.69446","6.51122","1.5833","6015","1469","thing","Purrrlock Holmes: Furriarty's Trail","2","5","30","30","20","2017","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Puzzle Strike: Third Edition","123607","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697054","6.23863","7.1671","2.6981","1945","2310","thing","Puzzle Strike: Third Edition","2","4","20","20","20","2012","2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Queendomino","232043","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663900","6.85423","7.14804","2.058","653","22609","thing","Queendomino","2","4","25","25","25","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Quick and the Undead","286534","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695870","5.53987","6.58898","2","13705","267","thing","The Quick and the Undead","1","6","60","60","45","2020","3,4,5,6","5,6","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Quiddler","339","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784302","5.85725","6.13843","1.4248","3981","9290","thing","Quiddler","1","8","30","30","30","1998","2,3,4,5,6","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Qwinto","183006","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784112","6.43031","6.98958","1.3333","1406","6994","thing","Qwinto","2","6","15","15","15","2015","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Qwirkle","25669","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695940","6.61322","6.77396","1.5838","1017","40961","thing","Qwirkle","2","4","45","45","45","2006","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Raids","234429","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696079","5.87418","6.68083","2.186","3834","2171","thing","Raids","2","4","40","40","40","2018","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rise of Augustus","137297","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664443","6.46506","6.72798","1.6376","1324","10384","thing","Rise of Augustus","2","6","30","30","30","2013","2,3,4,5,6","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rising 5: Runes of Asteros","185196","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696643","5.95902","6.49252","1.9062","3242","3284","thing","Rising 5: Runes of Asteros","1","5","30","30","30","2017","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Risk (Revised Edition)","37198","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664983","5.72405","5.96809","2.1573","5511","8354","thing","Risk (Revised Edition)","3","5","90","90","90","2008","3,4,5","4,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Risk: Star Wars – Original Trilogy Edition","22551","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664998","5.91084","6.82198","2.1143","3582","2652","thing","Risk: Star Wars – Original Trilogy Edition","2","5","120","120","120","2006","3,5","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Rivals for Catan","66056","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663537","6.57361","6.93927","2.3222","1090","19637","thing","Rivals for Catan","2","2","60","60","45","2010","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"RoboRally","18","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697229","6.88609","7.05167","2.4285","615","27898","thing","RoboRally","2","8","120","120","45","1994","3,4,5,6,7,8","5,6","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Saint Malo","117960","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696558","5.99442","6.44426","1.8929","3027","3984","thing","Saint Malo","2","5","45","45","45","2012","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Santorini","194655","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697122","7.213","7.35168","1.7266","281","62950","thing","Santorini","2","4","20","20","20","2016","2,3","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Saturday Night Live: The Game","331591","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663629","0","4.58333","1","0","103","thing","Saturday Night Live: The Game","3","8","30","30","30","2020","","","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Scrabble","320","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664367","6.14732","6.26876","2.0596","2293","66218","thing","Scrabble","2","4","90","90","90","1948","2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Scrabble Slam!","40508","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788220","5.3227","5.14064","1.1856","27825","5949","thing","Scrabble Slam!","2","4","15","15","15","2008","2,3,4","4","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Sea of Clouds","189052","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696995","6.0831","6.6372","1.7241","2585","4740","thing","Sea of Clouds","2","4","45","45","45","2016","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Seismic","22673","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696846","5.53077","5.79976","1.6047","15318","451","thing","Seismic","2","4","45","45","45","2006","2,3","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Shadows: Amsterdam","246297","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663653","5.99585","6.57402","1.25","3019","4750","thing","Shadows: Amsterdam","2","8","20","20","20","2018","4,5,6,8","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sheriff of Nottingham","157969","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664390","6.92629","7.06024","1.6601","561","55005","thing","Sheriff of Nottingham","3","5","60","60","60","2014","3,4,5","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures","204305","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697453","6.98362","7.57135","2.2371","488","17536","thing","Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures","1","8","120","120","60","2016","1,2,3,4","2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Silly Shenanigans","183400","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665275","5.52744","6.55109","1.2857","16038","171","thing","Silly Shenanigans","2","4","15","0","15","2015","2,3,4","4","3–8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sluff Off!","8129","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784148","6.25691","6.87246","1.8539","1884","4814","thing","Sluff Off!","3","5","30","30","30","2003","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Small Islands","236248","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696588","5.92376","6.61377","2.0435","3489","2375","thing","Small Islands","1","4","30","30","30","2018","1,2,3,4","1,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Small World","40692","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695612","7.09809","7.20117","2.3479","378","99983","thing","Small World","2","5","80","80","40","2009","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Smart Ass","27389","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788641","5.45748","5.45835","1.3051","27211","4339","thing","Smart Ass","2","8","30","30","30","2006","3,4,5,6,7,8","4,5,6","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Smash Up","122522","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696902","6.52362","6.69927","2.0607","1195","46744","thing","Smash Up","2","4","45","45","45","2012","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Snakesss","337389","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663594","5.70526","6.32513","1.0909","5826","2320","thing","Snakesss","4","8","20","20","20","2021","5,6,7,8","5,6","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Snorta!","11231","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665187","5.72819","6.09637","1.1007","5437","3030","thing","Snorta!","3","8","20","20","20","2004","4,5,6,7,8","6,7","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sons of Anarchy: Men of Mayhem","156091","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696043","6.47044","7.23907","2.5575","1303","6114","thing","Sons of Anarchy: Men of Mayhem","3","4","90","90","90","2014","3,4","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sorry!","2407","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695123","4.69137","4.54724","1.162","27928","12504","thing","Sorry!","2","4","30","30","30","1929","2,3,4","4","5+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Space Freaks","212958","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695968","5.57349","6.52023","2.8333","10327","612","thing","Space Freaks","2","4","90","90","60","2017","4","4","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Space Planets","183402","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117783349","5.52791","6.07366","1.2857","15926","280","thing","Space Planets","2","4","15","15","15","2015","2,3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spell Smashers","256313","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696608","5.74128","6.6866","2.2727","5232","1377","thing","Spell Smashers","1","5","60","60","45","2018","1,2,3,4","3","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Splendor","148228","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664120","7.29383","7.41851","1.7797","234","126073","thing","Splendor","2","4","30","30","30","2014","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spot it!","63268","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784419","6.37825","6.54479","1.0344","1529","44080","thing","Spot it!","2","8","15","15","15","2009","2,3,4,5,6,7","4,5","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spyfall","166384","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664220","6.62151","6.75798","1.2351","1003","30054","thing","Spyfall","3","8","15","15","15","2014","4,5,6,7,8","6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Squiggle","6709","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663615","0","5.3375","0","0","41","thing","Squiggle","3","8","45","45","45","2002","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Unlock!","312267","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696356","6.41111","7.04603","1.8936","1453","8220","thing","Star Wars: Unlock!","1","6","60","60","60","2020","1,2,3","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: X-Wing (Second Edition)","252328","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696028","6.90293","8.04074","3.0923","588","6990","thing","Star Wars: X-Wing (Second Edition)","2","2","45","45","30","2018","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Start Player","38318","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788544","5.75715","6.34546","1","5024","1946","thing","Start Player","2","99","1","1","1","2008","2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31","2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31","4+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Startups","223770","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784074","6.67843","7.19512","1.5657","908","10077","thing","Startups","3","7","20","20","20","2017","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Steam Time","180592","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696453","6.19877","7.04729","2.9254","2094","3312","thing","Steam Time","2","4","90","90","90","2015","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Steampunk Rally","162007","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118430202","6.73163","7.15259","2.6199","822","10034","thing","Steampunk Rally","2","8","60","60","45","2015","2,3,4,5,6","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Stick 'Em","354","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784121","6.48492","7.0465","1.9031","1272","5567","thing","Stick 'Em","3","8","60","60","30","1993","3,4,5,6","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Stone Age","34635","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697445","7.39306","7.51996","2.4606","176","59447","thing","Stone Age","2","4","90","90","60","2008","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Stratego (Revised Edition)","40432","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697067","5.67688","6.20605","1.9474","6362","2244","thing","Stratego (Revised Edition)","2","2","30","30","30","2008","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Stupid Deaths","258855","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663674","5.32157","4.3652","1","27827","1539","thing","Stupid Deaths","2","6","0","0","0","2018","4,5,6","6","6+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Super-Skill Pinball: 4-Cade","302524","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665118","6.42218","7.06374","2.2105","1431","6988","thing","Super-Skill Pinball: 4-Cade","1","4","30","30","30","2020","1,2,3","1","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Table Golf Association","356954","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664278","5.57521","7.01143","1.5714","10204","533","thing","Table Golf Association","1","8","120","120","30","2022","1,2,3,4","3","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Takenoko","70919","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664149","7.07059","7.20603","1.9753","405","73600","thing","Takenoko","2","4","45","45","45","2011","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tapestry","286096","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696495","7.2122","7.44165","2.9497","283","28877","thing","Tapestry","1","5","120","120","90","2019","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Telestrations","46213","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663965","7.1512","7.38046","1.0683","329","29321","thing","Telestrations","4","8","30","30","30","2009","5,6,7,8","8","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Tem-Purr-A","95386","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784171","5.65381","6.03894","1.1852","6893","2628","thing","Tem-Purr-A","3","10","15","15","15","2011","4,5,6,7,8","5,6,7,8","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Terror Below","270138","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696440","5.98276","6.67923","1.9111","3090","3997","thing","Terror Below","1","5","60","60","45","2019","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Thanos Rising: Avengers Infinity War","248158","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695913","6.26357","7.06787","2","1864","4479","thing","Thanos Rising: Avengers Infinity War","2","4","90","90","60","2018","1,2,3,4","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
